id	sample_123	sample_62	sample_100	sample_91	sample_88	sample_103	sample_65	sample_1	sample_108	sample_47	sample_90	sample_98	sample_58	sample_30	sample_37	sample_94	sample_34	sample_53	sample_76	sample_31	sample_56	sample_106	sample_55	sample_29	sample_60	sample_54	sample_33	sample_14	sample_121	sample_28	sample_86	sample_16	sample_25	sample_87	sample_127	sample_129	sample_119	sample_128	sample_63	sample_46	sample_109	sample_49	sample_82	sample_101	sample_23	sample_8	sample_93	sample_3	sample_59	sample_73	sample_107	sample_70	sample_36	sample_27	sample_38	sample_12	sample_39	sample_24	sample_20	sample_44	sample_78	sample_105	sample_81	sample_113	sample_84	sample_80	sample_13	sample_130	sample_18	sample_77	sample_19	sample_125	sample_99	sample_41	sample_124	sample_43	sample_4	sample_85	sample_64	sample_75	sample_45	sample_15	sample_120	sample_102	sample_95	sample_114	sample_48	sample_89	sample_66	sample_118	sample_68	sample_71	sample_92	sample_72	sample_67	sample_126	sample_42	sample_61	sample_26	sample_104	sample_52	sample_40	sample_79	taxonomy
OTU_67	0	0	0	6	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	2	0	0	0	0	1	154	0	0	0	0	0	0	0	106	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
OTU_68	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	1	106	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0	4	0	0	8	0	0	3	0	39	0	0	84	182	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;
OTU_69	0	0	0	0	1	0	0	0	0	256	180	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;
OTU_70	0	8	0	6	24	9	81	111	33	5	13	13	70	15	0	1	0	6	14	0	46	10	1	2	16	0	9	2	118	1	5	1	1	0	8	510	570	0	184	7	128	19	0	47	7	124	22	0	3	0	11	83	9	42	540	53	0	6	7	856	0	44	18	2	51	11	0	0	223	135	10	87	18	9	30	0	24	6	3	0	31	1	1	11	4	44	33	0	0	0	65	7	0	1	1	20	32	27	0	7	29	1	31	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa
OTU_71	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	3	1	166	74	0	0	9	0	30	0	0	0	1	0	0	0	2	0	0	0	9	0	0	322	0	0	1	0	0	2	0	19	0	0	0	21	11	0	0	0	0	0	1	0	0	5	25	0	0	0	0	191	0	0	0	177	224	0	0	10	0	363	0	87	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
OTU_72	0	0	0	0	0	0	0	0	10	1	0	0	27	0	1	0	0	0	4	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	24	51	0	0	0	51	0	32	0	0	0	0	32	7	0	0	23	0	0	68	0	0	0	0	1	0	1	0	0	0	0	51	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella
OTU_73	0	0	0	0	0	25	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	76	120	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiracea_incertae_sedis
OTU_74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	30	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVb
OTU_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	21	0	0	1	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;
OTU_76	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;
